date|close_price|high_price|low_price
07/10/2015|579.57|587.30|579.57
08/10/2015|586.78|588.35|579.57
09/10/2015|588.02|593.02|586.78
12/10/2015|592.10|594.74|587.25
13/10/2015|590.84|592.10|588.54
14/10/2015|589.98|593.73|589.62
15/10/2015|592.40|594.17|588.98
16/10/2015|593.02|599.74|592.40
19/10/2015|594.61|598.11|591.60
20/10/2015|590.45|596.37|588.26
21/10/2015|590.24|594.50|589.84
22/10/2015|595.08|595.81|589.74
23/10/2015|601.74|602.55|595.08
26/10/2015|598.61|606.79|598.61
27/10/2015|598.44|600.51|595.62
28/10/2015|596.24|601.09|596.24
29/10/2015|605.20|605.20|596.24
30/10/2015|607.37|608.01|603.93
02/11/2015|602.76|610.17|601.99
03/11/2015|611.71|611.71|600.46
04/11/2015|610.60|617.93|610.60
05/11/2015|615.18|616.46|608.53
06/11/2015|612.36|617.79|608.89
09/11/2015|610.66|613.79|610.35
10/11/2015|605.27|610.66|605.08
11/11/2015|603.53|609.24|603.34
12/11/2015|605.58|605.58|595.86
13/11/2015|611.27|611.27|603.72
16/11/2015|609.21|611.92|605.39
17/11/2015|605.05|611.18|605.05
18/11/2015|603.34|606.62|602.13
19/11/2015|601.90|605.56|600.84
20/11/2015|604.46|606.58|601.90
23/11/2015|599.99|607.69|599.99
24/11/2015|593.83|599.99|590.41
25/11/2015|595.70|596.92|588.10
26/11/2015|590.40|595.70|590.39
27/11/2015|582.86|591.84|582.86
30/11/2015|573.20|582.86|571.12
01/12/2015|570.41|577.58|570.41
02/12/2015|574.42|577.03|570.41
03/12/2015|574.38|576.84|573.20
04/12/2015|571.62|574.69|567.95
07/12/2015|563.62|571.62|563.41
08/12/2015|574.15|574.15|556.92
09/12/2015|565.20|576.63|565.20
10/12/2015|561.04|567.62|561.04
11/12/2015|563.43|567.13|559.73
14/12/2015|562.22|566.28|560.99
15/12/2015|568.00|568.74|562.22
16/12/2015|572.55|575.54|568.00
17/12/2015|577.11|579.18|572.55
18/12/2015|568.18|578.00|568.18
21/12/2015|566.90|571.28|565.35
22/12/2015|566.35|570.86|565.48
23/12/2015|564.27|568.16|562.30
24/12/2015|566.17|567.80|564.27
25/12/2015|567.67|570.49|566.17
28/12/2015|569.90|572.92|567.67
29/12/2015|576.29|576.29|566.49
